"Downloaded on",02/17/2020,"12:01:54 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%2296%22%2C%2295%22%2C%2294%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2363",https://www.congress.gov/bill/96th-congress/senate-bill/2363,"96th Congress (1979-1980)",,"National Trails System Act Amendments of 1980","Sen. Domenici, Pete V. [R-NM]",02/28/1980,,,,2,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",12/28/1980,"Public Law 96-607."
"S. 2357",https://www.congress.gov/bill/96th-congress/senate-bill/2357,"96th Congress (1979-1980)",,"Federal Question Jurisdictional Amendments Act of 1980","Sen. Metzenbaum, Howard M. [D-OH]",02/28/1980,,,,2,"House - Judiciary | Senate - Judiciary",12/01/1980,"Public Law 96-486."
"S. 2352",https://www.congress.gov/bill/96th-congress/senate-bill/2352,"96th Congress (1979-1980)",,"A bill to increase the authorization for the Council on Wage and Price Stability, to extend the duration of such Council, and for other purposes.","Sen. Proxmire, William [D-WI]",02/26/1980,,,,0,"Senate - Banking, Housing, and Urban Affairs",12/08/1980,"Public Law 96-508."
"S. 2320",https://www.congress.gov/bill/96th-congress/senate-bill/2320,"96th Congress (1979-1980)",,"An act to authorize appropriations to the Secretary of Commerce for the programs of the National Bureau of Standards for fiscal years 1981 and 1982, and for other purposes.","Sen. Cannon, Howard W. [D-NV]",02/20/1980,,,,0,"Senate - Commerce, Science, and Transportation",10/15/1980,"Public Law 96-461."
"S. 2318",https://www.congress.gov/bill/96th-congress/senate-bill/2318,"96th Congress (1979-1980)",,"A bill to revise the boundary of Crater Lake National Park in the State of Oregon, and for other purposes.","Sen. Hatfield, Mark O. [R-OR]",02/20/1980,,,,0,"Senate - Energy and Natural Resources",12/19/1980,"Public Law 96-553."
"S. 2271",https://www.congress.gov/bill/96th-congress/senate-bill/2271,"96th Congress (1979-1980)",,"An act to amend the Bretton Woods Agreements Act to authorize consent to an increase in the United States quota in the International Monetary Fund, and for other purposes.","Sen. Church, Frank [D-ID]",02/06/1980,,,,0,"Senate - Foreign Relations, Banking, Housing, and Urban Affairs",10/07/1980,"Public Law 96-389."
"S. 2269",https://www.congress.gov/bill/96th-congress/senate-bill/2269,"96th Congress (1979-1980)",,"An act to extend the Emergency Agricultural Credit Adjustment Act of 1978, and for other purposes.","Sen. Zorinsky, Edward [D-NE]",02/06/1980,,,,18,"Senate - Agriculture, Nutrition, and Forestry",03/30/1980,"Public Law 96-220."
"S. 2261",https://www.congress.gov/bill/96th-congress/senate-bill/2261,"96th Congress (1979-1980)",,"An act to provide for the establishment of the Indiana Dunes National Lakeshore, and for other purposes.","Sen. Domenici, Pete V. [R-NM]",02/05/1980,,,,0,"House - Agriculture, Interior and Insular Affairs | Senate - Energy and Natural Resources",12/28/1980,"Public Law 96-612."
"S. 2253",https://www.congress.gov/bill/96th-congress/senate-bill/2253,"96th Congress (1979-1980)",,"Passenger Railroad Rebuilding Act of 1980","Sen. Kassebaum, Nancy Landon [R-KS]",02/04/1980,,,,13,"House - Commerce | Senate - Commerce, Science, and Transportation",05/30/1980,"Public Law 96-254."
"S. 2251",https://www.congress.gov/bill/96th-congress/senate-bill/2251,"96th Congress (1979-1980)",,"Gasohol Competition Act of 1980","Sen. Metzenbaum, Howard M. [D-OH]",02/04/1980,,,,28,"House - Judiciary | Senate - Finance, Judiciary",12/02/1980,"Public Law 96-493."
"S. 2245",https://www.congress.gov/bill/96th-congress/senate-bill/2245,"96th Congress (1979-1980)",,"An act to amend subtitle IV of title 49, United States Code, to provide for more effective regulation of motor carriers of property, and for other purposes.","Sen. Cannon, Howard W. [D-NV]",02/01/1980,,,,1,"Senate - Commerce, Science, and Transportation",07/01/1980,"Public Law 96-296."
"S. 2240",https://www.congress.gov/bill/96th-congress/senate-bill/2240,"96th Congress (1979-1980)",,"National Aeronautics and Space Administration Authorization Act, 1981","Sen. Cannon, Howard W. [D-NV]",01/30/1980,,,,2,"Senate - Commerce, Science, and Transportation",07/30/1980,"Public Law 96-316."
"S. 2227",https://www.congress.gov/bill/96th-congress/senate-bill/2227,"96th Congress (1979-1980)",,"A bill to grant the consent of the United States to the Red River Compact among the States of Arkansas, Louisiana, Oklahoma and Texas.","Sen. Long, Russell B. [D-LA]",01/28/1980,,,,7,"House - Judiciary | Senate - Judiciary",12/22/1980,"Public Law 96-564."
"S. 2225",https://www.congress.gov/bill/96th-congress/senate-bill/2225,"96th Congress (1979-1980)",,"An original bill to provide that receipts from certain sales of items by the Sergeant at Arms of the Senate to Senators and committees and offices of the Senate shall be credited to the appropriation from which such items were purchased.","Sen. Pell, Claiborne [D-RI]",01/25/1980,,,,0,"House - House Administration | Senate - Rules and Administration",03/24/1980,"Public Law 96-214."
"S. 2223",https://www.congress.gov/bill/96th-congress/senate-bill/2223,"96th Congress (1979-1980)",,"An act to permit any Indian to transfer by will restricted lands of such Indian to his or her heirs or lineal descendants, and for other purposes.","Sen. DeConcini, Dennis [D-AZ]",01/25/1980,,,,0,"House - Interior and Insular Affairs | Senate - Indian Affairs",09/26/1980,"Public Law 96-363."
"S. 2222",https://www.congress.gov/bill/96th-congress/senate-bill/2222,"96th Congress (1979-1980)",,"A bill to extend the time for commencing actions on behalf of an Indian tribe, band, or group or on behalf of an individual Indian whose land is held in trust or restricted status.","Sen. Melcher, John [D-MT]",01/25/1980,,,,5,"House - Judiciary | Senate - Indian Affairs",03/27/1980,"Public Law 96-217."
