"Downloaded on",02/17/2020,"12:02:27 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22bill-status%22%3A%5B%22law%22%5D%2C%22congress%22%3A%2293%22%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2893",https://www.congress.gov/bill/93rd-congress/senate-bill/2893,"93rd Congress (1973-1974)",,"National Cancer Act Amendments","Sen. Kennedy, Edward M. [D-MA]",01/24/1974,,,,18,"Senate - Labor and Public Welfare",07/23/1974,"Public law 93-352."
"S. 2888",https://www.congress.gov/bill/93rd-congress/senate-bill/2888,"93rd Congress (1973-1974)",,"A bill to convey certain land of the United States to the Inter-Tribal Council, Incorporated, Miami, Oklahoma.","Sen. Bartlett, Dewey F. [R-OK]",01/24/1974,,,,0,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",01/02/1975,"Public law 93-588."
"S. 2854",https://www.congress.gov/bill/93rd-congress/senate-bill/2854,"93rd Congress (1973-1974)",,"National Arthritis Act","Sen. Cranston, Alan [D-CA]",12/21/1973,,,,70,"House - Commerce | Senate - Labor and Public Welfare",01/04/1975,"Public law 93-640."
"S. 2844",https://www.congress.gov/bill/93rd-congress/senate-bill/2844,"93rd Congress (1973-1974)",,"An Act to amend the Land Water Conservation Fund Act, as amended, to provide for collection of special recreation use fees at additional campgrounds, and for other purposes.","Sen. Bible, Alan [D-NV]",12/20/1973,,,,1,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",06/07/1974,"Public law 93-303."
"S. 2840",https://www.congress.gov/bill/93rd-congress/senate-bill/2840,"93rd Congress (1973-1974)",,"An Act to authorize the Secretary of Commerce and the Secretary of the Treasury to conduct a study of foreign direct and portfolio investment in the United States, and for other purposes.","Sen. Inouye, Daniel K. [D-HI]",12/20/1973,,,,1,"House - Foreign Affairs | Senate - Commerce",10/26/1974,"Public law 93-479."
"S. 2838",https://www.congress.gov/bill/93rd-congress/senate-bill/2838,"93rd Congress (1973-1974)",,"A bill for the relief of Michael D. Manemann.","Sen. Dominick, Peter H. [R-CO]",12/20/1973,,,,0,"House - Judiciary | Senate - Judiciary",12/31/1974,"Private Law 93-106."
"S. 2835",https://www.congress.gov/bill/93rd-congress/senate-bill/2835,"93rd Congress (1973-1974)",,"A bill to rename the first Civilian Conservation Corps Center located near Franklin, NC, and the Cross Timbers National Grasslands in Texas in honor of former President Lyndon B. Johnson.","Sen. Mansfield, Mike [D-MT]",12/19/1973,,,,3,"House - Agriculture | Senate - Agriculture",06/01/1974,"Public law 93-298."
"S. 2830",https://www.congress.gov/bill/93rd-congress/senate-bill/2830,"93rd Congress (1973-1974)",,"National Diabetes Research and Education Act","Sen. Schweiker, Richard S. [R-PA]",12/19/1973,,,,9,"House - Commerce | Senate - Labor and Public Welfare",07/23/1974,"Public law 93-354."
"S. 2812",https://www.congress.gov/bill/93rd-congress/senate-bill/2812,"93rd Congress (1973-1974)",,"An Act to amend the Federal Water Pollution Control Act to establish the ratio for allocation of treatment works construction grant funds, to insure that grants may be given for other than operable units, and to clarify the requirements for development of priorities.","Sen. Muskie, Edmund S. [D-ME]",12/13/1973,,,,0,"House - Public Works | Senate - Public Works",01/02/1974,"Public law 93-243."
"S. 2807",https://www.congress.gov/bill/93rd-congress/senate-bill/2807,"93rd Congress (1973-1974)",,"A bill to name the Federal building, U.S. Post Office, U.S. courthouse in Brunswick, Ga., as the ""Frank M. Scarlett Federal Building"".","Sen. Talmadge, Herman E. [D-GA]",12/13/1973,,,,1,"House - Public Works | Senate - Public Works",01/02/1975,"Public law 93-587."
