"Downloaded on",02/17/2020,"11:59:34 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2092",https://www.congress.gov/bill/108th-congress/senate-bill/2092,"108th Congress (2003-2004)",,"A bill to address the participation of Taiwan in the World Health Organization.","Sen. Allen, George [R-VA]",02/12/2004,,,,13,"Senate - Foreign Relations",06/14/2004,"Became Public Law No: 108-235."
"S. 2057",https://www.congress.gov/bill/108th-congress/senate-bill/2057,"108th Congress (2003-2004)",,"A bill to require the Secretary of Defense to reimburse members of the United States Armed Forces for certain transportation expenses incurred by the members in connection with leave under the Central Command Rest and Recuperation Leave Program before the program was expanded to include domestic travel.","Sen. Coleman, Norm [R-MN]",02/09/2004,,,,15,"House - Armed Services | Senate - Armed Services",04/22/2004,"Became Public Law No: 108-220."
"S. 2052",https://www.congress.gov/bill/108th-congress/senate-bill/2052,"108th Congress (2003-2004)",,"El Camino Real de los Tejas National Historic Trail Act","Sen. Hutchison, Kay Bailey [R-TX]",02/05/2004,,,,0,"House - Resources | Senate - Energy and Natural Resources",10/18/2004,"Became Public Law No: 108-342."
"S. 2043",https://www.congress.gov/bill/108th-congress/senate-bill/2043,"108th Congress (2003-2004)",,"A bill to designate a Federal building in Harrisburg, Pennsylvania, as the ""Ronald Reagan Federal Building"".","Sen. Specter, Arlen [R-PA]",02/02/2004,,,,1,"House - Transportation and Infrastructure | Senate - Environment and Public Works",05/07/2004,"Became Public Law No: 108-227."
"S. 2042",https://www.congress.gov/bill/108th-congress/senate-bill/2042,"108th Congress (2003-2004)",,"A bill for the relief of Rocco A. Trecosta of Fort Lauderdale, Florida.","Sen. Graham, Bob [D-FL]",02/02/2004,,,,0,"Senate - Judiciary",12/03/2004,"Became Private Law No: 108-5."
"S. 2022",https://www.congress.gov/bill/108th-congress/senate-bill/2022,"108th Congress (2003-2004)",,"A bill to designate the Federal building located at 250 West Cherry Street in Carbondale, Illinois the ""Senator Paul Simon Federal Building"".","Sen. Durbin, Richard J. [D-IL]",01/22/2004,,,,1,"Senate - Environment and Public Works",05/07/2004,"Became Public Law No: 108-226."
"S. 2017",https://www.congress.gov/bill/108th-congress/senate-bill/2017,"108th Congress (2003-2004)",,"A bill to designate the United States courthouse and post office building located at 93 Atocha Street in Ponce, Puerto Rico, as the ""Luis A. Ferre United States Courthouse and Post Office Building"".","Sen. Santorum, Rick [R-PA]",01/22/2004,,,,0,"Senate - Governmental Affairs",07/07/2004,"Became Public Law No: 108-273."
"S. 1947",https://www.congress.gov/bill/108th-congress/senate-bill/1947,"108th Congress (2003-2004)",,"Preserving Independence of Financial Institution Examinations Act of 2003  
  
","Sen. Leahy, Patrick J. [D-VT]",11/24/2003,,,,1,"House - Judiciary",12/19/2003,"Became Public Law No: 108-198."
"S. 1929",https://www.congress.gov/bill/108th-congress/senate-bill/1929,"108th Congress (2003-2004)",,"Mental Health Parity Reauthorization Act of 2003","Sen. Gregg, Judd [R-NH]",11/21/2003,,,,1,,12/19/2003,"Became Public Law No: 108-197."
"S. 1904",https://www.congress.gov/bill/108th-congress/senate-bill/1904,"108th Congress (2003-2004)",,"A bill to designate the United States courthouse located at 400 North Miami Avenue in Miami, Florida, as the ""Wilkie D. Ferguson, Jr. United States Courthouse"".","Sen. Graham, Bob [D-FL]",11/20/2003,,,,1,"Senate - Environment and Public Works",05/07/2004,"Became Public Law No: 108-225."
