Sponsor Name,Party,Current,Sponsored Count,Cosponsored Count,Weighted Score,Score Relative to Expectation,Rank
"Sen. Hart, Philip A.",Democratic,False,4,35,4.084,0.648,243
"Sen. Capito, Shelley Moore",Republican,True,1,43,1.788,0.647,244
"Sen. Nelson, Gaylord",Democratic,False,9,38,7.905,0.644,245
"Sen. Reed, Jack",Democratic,True,7,90,7.557,0.642,246
"Sen. Exon, J. James",Democratic,False,15,178,10.035,0.641,247
"Sen. Perdue, David",Republican,True,1,22,1.762,0.638,248
"Sen. Kaufman, Edward E.",Democratic,False,1,11,0.903,0.638,249
"Sen. Wilson, Pete",Republican,False,4,177,6.015,0.636,250
"Sen. Wirth, Timothy",Democratic,False,4,108,4.264,0.633,251
"Sen. Hart, Gary W.",Democratic,False,6,36,7.828,0.628,252
"Sen. Sasser, Jim",Democratic,False,10,201,11.364,0.627,253
"Sen. Abdnor, James",Republican,False,6,88,4.781,0.620,254
"Sen. Baucus, Max",Democratic,False,9,218,15.359,0.614,255
"Sen. Evans, Daniel J.",Republican,False,4,49,4.099,0.611,256
"Sen. Ensign, John",Republican,False,3,38,3.455,0.610,257
"Sen. Moseley-Braun, Carol",Democratic,False,1,36,1.802,0.609,258
"Sen. Risch, James E.",Republican,True,2,34,2.777,0.600,259
"Sen. Durenberger, Dave",Republican,False,6,327,9.630,0.594,260
"Sen. Laxalt, Paul D.",Republican,False,7,91,8.738,0.593,261
"Sen. Hassan, Margaret Wood",Democratic,True,0,28,0.798,0.590,262
"Sen. Bible, Alan",Democratic,False,2,20,2.129,0.589,263
"Sen. Symms, Steven D.",Republican,False,5,158,6.986,0.587,264
"Sen. Santorum, Rick",Republican,False,5,55,5.155,0.570,265
"Sen. Nunn, Sam",Democratic,False,12,281,14.130,0.567,266
"Sen. Stabenow, Debbie",Democratic,True,4,105,5.402,0.566,267
"Sen. Roberts, Pat",Republican,True,7,83,7.636,0.565,268
"Sen. Ernst, Joni ",Republican,True,1,20,1.556,0.564,269
"Sen. Allen, James B.",Democratic,False,6,21,5.191,0.561,270
"Sen. McIntyre, Thomas J.",Democratic,False,4,35,5.181,0.560,271
"Sen. Baldwin, Tammy",Democratic,True,1,46,1.748,0.552,272
"Sen. Stevenson, Adlai E., III",Democratic,False,6,48,6.765,0.551,273
"Sen. Hagel, Chuck",Republican,False,3,75,4.877,0.549,274
"Sen. Nickles, Don",Republican,False,13,153,11.018,0.537,275
"Sen. Brown, Sherrod",Democratic,True,2,93,3.745,0.534,276
"Sen. Cortez Masto, Catherine ",Democratic,True,0,27,0.709,0.525,277
"Sen. Bunning, Jim",Republican,False,3,48,4.115,0.523,278
"Sen. Zorinsky, Edward",Democratic,False,3,108,6.371,0.523,279
"Sen. Hutchinson, Tim",Republican,False,1,34,2.402,0.520,280
"Sen. Hecht, Chic",Republican,False,3,65,3.481,0.519,281
"Sen. Bryan, Richard H.",Democratic,False,3,104,4.479,0.518,282
"Sen. Brooke, Edward W.",Republican,False,2,32,2.884,0.517,283
"Sen. Toomey, Pat",Republican,True,3,28,2.009,0.512,284
"Sen. Mack, Connie, III",Republican,False,1,107,4.548,0.512,285
"Sen. Shelby, Richard C.",Republican,True,7,207,10.167,0.511,286
"Sen. Byrd, Robert C.",Democratic,False,18,137,16.628,0.509,287
"Sen. Mikulski, Barbara A.",Democratic,False,6,259,9.746,0.507,288
"Sen. Kaine, Tim",Democratic,True,1,30,1.596,0.504,289
"Sen. Fitzgerald, Peter",Republican,False,3,20,2.341,0.500,290
"Sen. Talent, Jim",Republican,False,2,17,1.694,0.497,291
"Sen. Breaux, John B.",Democratic,False,2,125,6.213,0.494,292
"Sen. Brock, Bill",Republican,False,1,23,1.917,0.489,293
"Sen. Barrasso, John",Republican,True,2,38,2.661,0.486,294
"Sen. Dole, Elizabeth",Republican,False,2,31,2.069,0.486,295
"Sen. Dorgan, Byron L.",Democratic,False,4,90,5.695,0.486,296
"Sen. Kasten, Robert W., Jr.",Republican,False,4,152,5.742,0.483,297
"Sen. McConnell, Mitch",Republican,True,11,110,10.298,0.462,298
"Sen. Blackburn, Marsha",Republican,True,0,6,0.138,0.461,299
"Sen. Morgan, Robert B.",Democratic,False,3,22,3.984,0.460,300
"Sen. Coats, Daniel",Republican,False,4,109,3.988,0.451,301
"Sen. Hathaway, William D.",Democratic,False,3,44,4.160,0.450,302
"Sen. Webb, Jim",Democratic,False,1,27,1.728,0.448,303
"Sen. Manchin, Joe, III",Democratic,True,0,43,1.792,0.447,304
"Sen. Young, Milton R.",Republican,False,1,39,3.116,0.444,305
"Sen. Feingold, Russell D.",Democratic,False,4,76,4.330,0.440,306
"Sen. Bennet, Michael F.",Democratic,True,1,51,2.377,0.438,307
"Sen. Gregg, Judd",Republican,False,5,73,5.162,0.437,308
"Sen. Dixon, Alan J.",Democratic,False,1,220,4.587,0.435,309
"Sen. Boren, David L.",Democratic,False,3,194,6.571,0.433,310
"Sen. Pearson, James B.",Republican,False,2,14,2.400,0.430,311
"Sen. Humphrey, Gordon J.",Republican,False,6,107,5.155,0.423,312
"Sen. Kohl, Herb",Democratic,False,5,130,6.254,0.416,313
"Sen. Kerrey, J. Robert",Democratic,False,2,66,3.554,0.411,314
"Sen. Lankford, James",Republican,True,0,18,1.123,0.407,315
"Sen. LeMieux, George S.",Republican,False,0,5,0.287,0.406,316
"Sen. Conrad, Kent",Democratic,False,4,196,6.947,0.399,317
"Sen. Fowler, Wyche, Jr.",Democratic,False,2,82,2.657,0.395,318
"Sen. Muskie, Edmund S.",Democratic,False,5,25,4.814,0.392,319
"Sen. Brownback, Sam",Republican,False,4,64,3.727,0.389,320
"Sen. Udall, Mark",Democratic,False,1,21,1.171,0.387,321
"Sen. Corzine, Jon S.",Democratic,False,1,22,0.974,0.386,322
"Sen. Franken, Al",Democratic,False,1,52,1.958,0.384,323
"Sen. Gramm, Phil",Republican,False,4,84,5.095,0.380,324
"Sen. Roth Jr., William V.",Republican,False,8,185,9.309,0.372,325
"Sen. Wofford, Harris",Democratic,False,1,43,1.289,0.371,326
"Sen. Coleman, Norm",Republican,False,1,43,1.542,0.363,327
"Sen. Armstrong, William L.",Republican,False,5,71,4.418,0.362,328
"Sen. Johanns, Mike",Republican,False,0,21,0.675,0.362,329
"Sen. Cramer, Kevin",Republican,True,0,7,0.108,0.361,330
"Sen. Graham, Lindsey",Republican,True,2,57,3.193,0.360,331
"Sen. Wallop, Malcolm",Republican,False,7,92,5.735,0.354,332
"Sen. Hughes, Harold E.",Democratic,False,1,28,1.266,0.351,333
"Sen. Miller, Zell",Democratic,False,0,21,0.538,0.350,334
"Sen. Rudman, Warren",Republican,False,4,49,4.136,0.348,335
"Sen. Long, Russell B.",Democratic,False,5,43,5.587,0.347,336
"Sen. Smith, Bob",Republican,False,3,39,2.758,0.345,337
"Sen. Rounds, Mike ",Republican,True,0,31,0.945,0.342,338
"Sen. King, Angus S., Jr.",Democratic,True,0,45,1.069,0.338,339
"Sen. Mattingly, Mack",Republican,False,1,68,2.511,0.326,340
"Sen. Faircloth, Lauch",Republican,False,1,29,1.278,0.325,341
"Sen. McSally, Martha",Republican,True,0,7,0.096,0.320,342
"Sen. Cotton, Tom",Republican,True,1,22,0.852,0.309,343
"Sen. Grams, Rod",Republican,False,1,28,1.499,0.304,344
"Sen. Haskell, Floyd K.",Democratic,False,4,29,2.794,0.302,345
"Sen. Gillibrand, Kirsten E.",Democratic,True,0,67,1.627,0.300,346
"Sen. Tsongas, Paul E.",Democratic,False,0,61,1.625,0.299,347
"Sen. Scott, William Lloyd",Republican,False,2,8,1.636,0.293,348
"Sen. McGee, Gale W.",Democratic,False,1,36,1.845,0.293,349
"Sen. Durkin, John A.",Democratic,False,2,28,2.524,0.291,350
"Sen. Sanders, Bernard",Democratic,True,1,48,2.031,0.289,351
"Sen. Harris, Kamala D.",Democratic,True,0,16,0.388,0.287,352
"Sen. Bayh, Evan",Democratic,False,2,52,1.965,0.285,353
"Sen. Chafee, Lincoln",Republican,False,0,28,1.727,0.273,354
"Sen. Scott, Rick ",Republican,True,0,6,0.082,0.272,355
"Sen. Smith, Tina ",Democratic,True,0,5,0.088,0.268,356
"Sen. Markey, Edward J.",Democratic,True,0,38,0.840,0.265,357
"Sen. Van Hollen, Chris",Democratic,True,0,23,0.355,0.263,358
"Sen. East, John P.",Republican,False,0,62,2.027,0.263,359
"Sen. Wellstone, Paul D.",Democratic,False,0,77,1.778,0.263,360
"Sen. Burris, Roland",Democratic,False,0,16,0.361,0.255,361
"Sen. Edwards, John",Democratic,False,0,26,0.717,0.248,362
"Sen. Ashcroft, John",Republican,False,1,27,1.213,0.246,363
"Sen. Karnes, David K.",Republican,False,0,21,0.332,0.232,364
"Sen. Scott, Tim",Republican,True,1,17,0.759,0.223,365
"Sen. Braun, Mike ",Republican,True,0,5,0.066,0.221,366
"Sen. Stone, Richard (Dick)",Democratic,False,1,26,1.908,0.220,367
"Sen. Martinez, Mel",Republican,False,0,20,0.545,0.220,368
"Sen. Sanford, Terry",Democratic,False,0,119,1.721,0.212,369
"Sen. Kirk, Paul Grattan, Jr.",Democratic,False,0,3,0.268,0.190,370
"Sen. Romney, Mitt ",Republican,True,0,4,0.056,0.186,371
"Sen. Hatfield, Paul",Democratic,False,1,1,0.533,0.181,372
"Sen. Curtis, Carl T.",Republican,False,0,16,0.937,0.168,373
"Sen. Clark, Dick",Democratic,False,1,38,1.548,0.167,374
"Sen. Carnahan, Jean",Democratic,False,0,5,0.088,0.151,375
"Sen. Stewart, Donald",Democratic,False,0,15,0.864,0.144,376
"Sen. Nelson, Ben",Democratic,False,0,45,0.914,0.143,377
"Sen. Mathews, Harlan",Democratic,False,0,19,0.202,0.126,378
"Sen. Dayton, Mark",Democratic,False,0,21,0.313,0.124,379
"Sen. Hyde-Smith, Cindy",Republican,True,0,4,0.034,0.113,380
"Sen. Murphy, Christopher",Democratic,True,0,26,0.342,0.108,381
"Sen. Paul, Rand",Republican,True,0,10,0.417,0.106,382
"Sen. Hagan, Kay R.",Democratic,False,0,20,0.308,0.102,383
"Sen. Jones, Doug ",Democratic,True,0,4,0.031,0.095,384
"Sen. Bennett, Wallace F.",Republican,False,0,8,0.162,0.081,385
