"Downloaded on",02/17/2020,"11:58:18 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3031",https://www.congress.gov/bill/115th-congress/senate-bill/3031,"115th Congress (2017-2018)",,"Federal Personal Property Management Act of 2018","Sen. Peters, Gary C. [D-MI]",06/07/2018,,,,5,"Senate - Homeland Security and Governmental Affairs",01/03/2019,"Became Public Law No: 115-419."
"S. 3029",https://www.congress.gov/bill/115th-congress/senate-bill/3029,"115th Congress (2017-2018)",,"PREEMIE Reauthorization Act of 2018","Sen. Alexander, Lamar [R-TN]",06/07/2018,,,,12,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",12/18/2018,"Became Public Law No: 115-328."
"S. 3021",https://www.congress.gov/bill/115th-congress/senate-bill/3021,"115th Congress (2017-2018)",,"America's Water Infrastructure Act of 2018","Sen. Klobuchar, Amy [D-MN]",06/07/2018,,,,1,"House - Transportation and Infrastructure | Senate - Environment and Public Works",10/23/2018,"Became Public Law No: 115-270."
"S. 2961",https://www.congress.gov/bill/115th-congress/senate-bill/2961,"115th Congress (2017-2018)",,"Victims of Child Abuse Act Reauthorization Act of 2018","Sen. Blunt, Roy [R-MO]",05/24/2018,,,,21,"Senate - Judiciary",01/07/2019,"Became Public Law No: 115-424."
"S. 2946",https://www.congress.gov/bill/115th-congress/senate-bill/2946,"115th Congress (2017-2018)",,"Anti-Terrorism Clarification Act of 2018","Sen. Grassley, Chuck [R-IA]",05/24/2018,,,,11,"Senate - Judiciary",10/03/2018,"Became Public Law No: 115-253."
"S. 2896",https://www.congress.gov/bill/115th-congress/senate-bill/2896,"115th Congress (2017-2018)",,"Justice Against Corruption on K Street Act of 2018","Sen. Kennedy, John [R-LA]",05/22/2018,,,,5,"House - Judiciary | Senate - Homeland Security and Governmental Affairs",01/03/2019,"Became Public Law No: 115-418."
"S. 2850",https://www.congress.gov/bill/115th-congress/senate-bill/2850,"115th Congress (2017-2018)",,"A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund.","Sen. Flake, Jeff [R-AZ]",05/15/2018,,,,1,,08/01/2018,"Became Public Law No: 115-227."
"S. 2779",https://www.congress.gov/bill/115th-congress/senate-bill/2779,"115th Congress (2017-2018)",,"Zimbabwe Democracy and Economic Recovery Amendment Act of 2018","Sen. Flake, Jeff [R-AZ]",04/26/2018,,,,1,"Senate - Foreign Relations",08/08/2018,"Became Public Law No: 115-231."
"S. 2765",https://www.congress.gov/bill/115th-congress/senate-bill/2765,"115th Congress (2017-2018)",,"RBIC Advisers Relief Act of 2018","Sen. Kennedy, John [R-LA]",04/26/2018,,,,1,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",01/03/2019,"Became Public Law No: 115-417."
"S. 2736",https://www.congress.gov/bill/115th-congress/senate-bill/2736,"115th Congress (2017-2018)",,"Asia Reassurance Initiative Act of 2018","Sen. Gardner, Cory [R-CO]",04/24/2018,,,,11,"Senate - Foreign Relations",12/31/2018,"Became Public Law No: 115-409."
